x_data	 y_data	  functional value
-2.546291	  3.184673	 -0.390493
8.281535	  6.834806	 -0.308174
-11.391008	  -6.115866	 0.148790
1.009142	  10.215386	 -0.237408
-4.302036	  7.649873	 -0.009594
-4.384039	  -2.015572	 -0.292815
0.864701	  -3.690894	 -0.424865
-3.000617	  3.958292	 -0.045471
-0.837350	  -0.528734	 0.668332
-4.359182	  -1.557917	 -0.269762
2.316026	  -6.685018	 0.300047
0.171291	  -0.226404	 1.077683
-3.368325	  0.438340	 -0.312573
-5.134032	  1.764414	 -0.016869
-1.929187	  1.586416	 -0.037824
4.551069	  0.982258	 -0.262685
2.566400	  -0.342695	 0.035157
-0.244802	  8.787658	 -0.069525
2.992870	  -2.887726	 -0.397214
-14.592827	  -1.399742	 -0.009296
10.922971	  3.251654	 -0.131396
-2.940623	  9.527612	 -0.256139
3.069378	  -9.139288	 -0.033910
-10.478643	  2.299614	 -0.288876
-2.034941	  6.035386	 0.318765
-7.817034	  6.800167	 -0.237027
-3.800075	  -0.841334	 -0.349739
0.814089	  -2.453536	 -0.117186
0.759676	  -4.980732	 -0.285650
0.034209	  0.857273	 0.766152
-4.843956	  -3.099054	 0.239136
2.258011	  -3.350262	 -0.397670
4.049940	  3.397377	 -0.151718
0.944596	  0.747402	 0.577776
-2.504719	  -0.943835	 -0.211714
9.135220	  4.638419	 -0.326939
6.308316	  1.171109	 0.212037
1.853525	  -4.561004	 -0.052095
2.135877	  -4.884615	 -0.059919
0.730559	  13.487367	 0.273821
-6.262019	  -6.214166	 -0.011687
-1.959831	  -7.748878	 0.132132
-2.518635	  2.622481	 -0.458520
7.464319	  2.267038	 0.347411
-3.429359	  1.678582	 -0.471551
-0.608856	  -4.028618	 -0.446722
-3.596113	  -2.242534	 -0.422917
1.325384	  -3.895861	 -0.355342
0.742765	  4.240915	 -0.374515
7.981642	  -0.316016	 0.249968
2.112596	  6.653700	 0.380885
-0.449313	  3.547294	 -0.461291
4.034068	  -11.816331	 0.206630
5.935630	  -3.894852	 0.191946
-3.572513	  -0.305012	 -0.476133
-3.050442	  0.256937	 -0.250208
5.489621	  -3.921162	 0.306140
10.354242	  -1.545087	 -0.351259
6.272596	  2.293257	 0.252965
3.478245	  7.200820	 0.233185
-4.880494	  -1.464608	 -0.112123
-1.631964	  -4.200833	 -0.343872
2.440872	  -7.941430	 0.112471
-9.203364	  -9.413697	 0.314648
-11.108930	  -2.446693	 -0.032982
-5.581769	  -1.810416	 0.037192
4.153959	  4.072235	 -0.044492
-6.789580	  6.752444	 -0.303669
-5.015815	  -1.531591	 -0.093380
-5.140308	  7.737471	 -0.146482
0.507464	  -1.521629	 0.453991
-0.778866	  -2.039465	 0.064212
-6.744561	  1.084715	 0.208572
-1.307003	  -6.601824	 0.153717
4.016621	  6.998651	 0.069294
-5.780470	  1.981447	 0.152282
-1.502868	  0.536709	 0.428163
2.677983	  2.373942	 -0.484104
-4.086464	  3.599006	 -0.062208
0.263094	  -5.824352	 0.185417
-6.490332	  -0.078089	 0.171783
-3.223436	  -4.751373	 -0.012209
2.128850	  6.970014	 0.253734
-0.039402	  -6.696303	 0.290861
-5.481401	  -5.216086	 0.200942
4.038763	  -1.586673	 -0.461522
-3.708008	  -4.642284	 0.136465
3.842564	  -5.881368	 0.377192
4.496169	  5.274896	 0.298556
-3.044558	  6.382905	 0.312482
11.060696	  4.175500	 -0.108958
6.704204	  -0.452766	 0.255728
-4.477442	  6.941051	 0.094104
-5.297925	  -5.163660	 0.292647
-4.891071	  7.394367	 -0.067447
0.847009	  3.268134	 -0.307753
6.944656	  -8.330874	 -0.158396
-8.206244	  -3.453726	 -0.144649
9.572821	  -2.840412	 -0.041957
-3.372588	  -9.024084	 -0.155429
4.387870	  2.033780	 -0.293000
-0.623027	  3.560088	 -0.368789
-4.282551	  -2.683950	 -0.150290
0.743823	  10.390494	 -0.269089
-3.571981	  -5.159074	 0.212222
-1.394051	  -4.392412	 -0.299822
0.853388	  2.237223	 -0.019757
4.147111	  -0.039787	 -0.355665
-0.584318	  5.472365	 0.037897
-6.158904	  -11.118757	 0.210585
-0.345483	  2.347082	 -0.026673
-5.894250	  -2.890048	 0.232577
-2.644238	  -6.926576	 0.223258
-3.095023	  -0.051445	 -0.240475
2.936552	  2.411140	 -0.463620
0.972321	  3.940099	 -0.451705
-5.981031	  0.661533	 0.240209
-3.411300	  6.740770	 0.232873
-3.043306	  1.844510	 -0.317668
1.520485	  7.747881	 0.159622
-0.020597	  -2.247740	 0.094364
5.182666	  -4.758182	 0.181070
-5.260515	  1.322254	 0.035163
0.134117	  -6.055491	 0.031029
5.526711	  -0.365276	 0.045667
4.198350	  -1.773337	 -0.272690
2.299454	  -5.783536	 0.231421
-5.621435	  8.890859	 -0.223093
-3.112219	  5.202842	 0.303781
8.778940	  0.890279	 0.034946
4.324905	  -1.050417	 -0.145754
-1.334301	  1.390693	 0.299150
-7.213098	  2.807312	 0.219235
-4.552586	  -2.848739	 -0.105912
5.485367	  -2.924452	 0.305803
4.234415	  4.947617	 0.247909
0.170745	  6.948406	 0.179124
-0.561697	  -1.194531	 0.650596
-1.153800	  -2.222694	 -0.026459
-2.754928	  0.874050	 -0.061973
-0.103347	  -14.819430	 -0.020065
1.928876	  -5.767956	 0.323800
-5.293474	  -2.711361	 0.093837
6.153837	  2.075581	 0.110549
2.615410	  0.924577	 -0.113024
2.116661	  7.292705	 0.201731
2.062887	  1.470075	 -0.149325
4.142124	  -2.104555	 -0.261025
-1.510023	  6.412483	 0.216106
-1.741804	  2.608592	 -0.271557
-1.372974	  -8.582752	 0.099342
-0.333224	  -3.812946	 -0.354898
-3.243822	  2.233982	 -0.442811
7.843246	  0.964106	 0.026422
-0.580490	  -9.042243	 -0.015424
-0.007645	  -11.948271	 -0.002604
-5.674857	  -6.246059	 0.045362
5.268414	  0.293085	 -0.140671
4.307460	  -1.738720	 -0.359940
-3.780236	  -6.785827	 0.213708
0.692579	  5.869063	 0.218441
-6.928225	  4.772092	 0.032723
-2.915109	  0.971490	 -0.192039
-8.200677	  12.346544	 0.005955
9.633199	  2.683695	 -0.352683
0.600328	  0.366978	 1.002404
1.810742	  8.045684	 0.139770
-6.676184	  13.374079	 0.133841
0.314322	  1.123511	 0.721362
-0.202398	  5.765571	 0.222044
-1.991910	  4.089535	 -0.245945
1.311102	  3.977434	 -0.296382
3.320033	  -2.180493	 -0.392792
11.015201	  -8.143676	 0.218689
-3.039801	  -2.025430	 -0.380225
-6.328118	  -1.671708	 0.308549
-0.648796	  4.510849	 -0.282313
4.549389	  5.765094	 0.109593
-4.968566	  -1.744849	 -0.082975
5.104350	  5.948092	 0.260205
-2.380966	  -5.763678	 0.114083
-0.601133	  2.479706	 0.040138
0.764768	  -4.611523	 -0.253396
-2.656273	  0.093101	 -0.100306
5.868609	  0.406267	 0.208404
-19.949473	  3.396335	 0.137747
1.533035	  -1.986449	 0.037873
-3.634228	  4.567422	 0.092067
-0.792630	  -4.899453	 -0.148064
0.056333	  -5.744171	 -0.112816
8.480419	  0.403141	 0.141003
4.291563	  -1.894004	 -0.256771
-5.046106	  -1.371507	 -0.062457
-1.691460	  0.987167	 0.346189
4.291511	  6.871244	 0.075229
0.867008	  7.590109	 0.357240
-7.455053	  -5.583692	 -0.160772
-0.174880	  5.233586	 -0.002568
-3.833130	  -3.070907	 -0.210817
-1.282707	  -10.890985	 -0.087763
6.057135	  1.690402	 0.249773
3.628775	  -0.625913	 -0.444867
-4.364706	  -10.281084	 -0.226727
8.005674	  -4.630684	 -0.117861
6.019781	  -7.618075	 -0.245457
1.131825	  2.284174	 -0.119078
0.587386	  3.009987	 -0.211433
-1.393477	  -6.874240	 0.305396
8.359722	  -1.869105	 -0.033122
-5.343924	  -1.903992	 -0.070016
9.842838	  -4.750595	 -0.117466
4.479657	  0.376826	 -0.408090
-8.298578	  -0.920709	 -0.106221
-2.793349	  1.186776	 -0.259309
-12.792920	  2.858229	 0.266127
-1.485324	  -0.438044	 0.499957
6.705990	  -5.248460	 0.077448
-2.972947	  3.825809	 -0.201644
7.040599	  5.548737	 -0.067486
11.370114	  8.059789	 0.244567
-6.183030	  -6.158164	 -0.069383
-3.187092	  -4.230971	 -0.024061
-1.212128	  -8.355223	 0.085077
2.052095	  5.606251	 0.200483
3.452068	  3.797794	 -0.075086
-0.841864	  10.444191	 -0.212050
5.767683	  1.872314	 0.100278
2.184978	  -8.479424	 -0.070845
1.074144	  -5.215318	 -0.022597
-3.578028	  4.410360	 0.085599
1.606576	  2.505086	 -0.212261
-4.134155	  1.783971	 -0.257862
1.629094	  2.937623	 -0.215045
8.502800	  -5.081937	 -0.070638
-0.750451	  1.199519	 0.708271
2.386352	  -0.766967	 -0.105449
5.156552	  13.455533	 0.153464
-6.096314	  4.055411	 0.399509
-4.430943	  -0.462494	 -0.412292
-0.388494	  -5.250082	 0.020037
1.017104	  -3.558643	 -0.436569
4.704535	  -1.607343	 -0.157288
-2.632669	  -3.804187	 -0.259907
-1.423786	  -3.126356	 -0.263999
3.355221	  9.508046	 -0.264596
-5.682269	  -0.334858	 0.044287
3.676967	  5.247506	 0.376419
4.416673	  0.857644	 -0.227540
-1.607692	  1.518681	 0.008062
-9.176690	  -0.402343	 -0.154870
-0.519674	  2.011596	 0.174882
5.705058	  -4.238583	 0.441851
0.881458	  1.796553	 0.198397
-1.189346	  2.600511	 -0.158345
-4.334241	  -6.120060	 0.263110
1.773978	  1.260179	 0.002776
2.180260	  -0.241531	 0.201254
-6.956584	  -1.013198	 0.193852
-7.512862	  -0.205037	 0.132628
-3.098059	  1.211373	 -0.336138
-1.692074	  5.825035	 0.110819
4.341260	  9.694752	 -0.191736
3.643891	  4.894272	 0.313635
-4.342745	  -15.017635	 -0.221128
7.783938	  -1.022177	 0.404997
-6.694122	  -3.025336	 0.217607
-3.647065	  5.534379	 0.350509
-1.880613	  0.682915	 0.262069
-0.507691	  -12.756054	 0.234780
6.776112	  5.213626	 -0.083601
-0.876372	  13.115756	 0.294193
-6.898020	  -4.929114	 -0.017483
8.136283	  3.122229	 -0.003676
8.223443	  4.440243	 -0.258301
3.955420	  1.145835	 -0.522079
-1.124922	  4.165203	 -0.307209
-1.581488	  -5.113727	 0.036162
4.629016	  -3.544580	 0.065344
-0.622523	  -14.040881	 0.179420
-6.608080	  4.183615	 0.121388
4.377947	  -7.299901	 -0.065712
2.719575	  8.455102	 -0.091975
-0.254883	  -5.058977	 -0.208916
-1.874559	  -1.308496	 0.139523
-5.157167	  -2.772719	 0.024254
-0.730034	  -6.761173	 0.335685
10.948658	  4.557472	 0.037065
4.132614	  2.211928	 -0.334665
-4.354359	  -10.021252	 -0.292185
1.312276	  12.882608	 0.243800
7.869744	  -8.059779	 -0.145834
2.013183	  -1.415412	 0.004682
3.284370	  -0.869317	 -0.430751
8.848566	  -2.948829	 0.008729
-0.058988	  -0.272215	 1.066863
0.640902	  -0.107048	 0.752848
4.511055	  0.052547	 -0.410337
-1.246453	  -5.091149	 -0.021856
-5.791963	  -1.860746	 0.211138
6.712200	  -3.605017	 0.313675
-4.257792	  -3.690232	 -0.017752
-5.527887	  -5.827050	 0.158828
14.000133	  1.615964	 0.096370
-2.387269	  -0.049447	 0.061473
0.790815	  6.247287	 0.216603
3.288303	  -1.316671	 -0.238034
-3.432685	  8.322657	 -0.159538
-2.241874	  -1.844713	 -0.300334
3.679618	  -2.639293	 -0.394933
-0.917842	  -3.913644	 -0.365496
2.065484	  1.038553	 0.029079
-2.755581	  -1.022494	 -0.352339
3.951470	  -8.531414	 -0.175988
8.316248	  -0.651698	 0.049942
5.404224	  4.297430	 0.212602
-5.566695	  8.088591	 -0.231052
4.448226	  5.451382	 0.325751
11.333350	  -6.661361	 0.202400
8.036318	  -2.248892	 -0.007612
-8.757015	  3.174244	 -0.143944
-1.944231	  6.040707	 0.359122
0.220665	  2.659167	 -0.183859
1.384712	  6.480060	 0.271033
3.084720	  -1.665652	 -0.395228
3.289703	  -12.241440	 0.217076
-5.743709	  -1.554986	 0.140315
-2.709259	  5.916769	 0.263890
-4.592130	  -2.286873	 -0.207866
-0.137390	  8.296136	 0.136608
-1.135787	  -1.310301	 0.422143
6.873071	  -2.999464	 0.302852
-5.496242	  -3.392866	 0.034072
0.205094	  0.194874	 1.019216
8.951251	  2.112377	 -0.092494
-2.991381	  2.639413	 -0.335239
-6.776468	  1.439478	 0.249627
3.248066	  -7.722995	 0.156129
2.041069	  1.133368	 -0.071091
1.291920	  3.088873	 -0.441923
-3.426574	  -4.500482	 0.084031
4.990128	  -5.068304	 0.121517
-7.007566	  -0.132202	 0.368324
11.072070	  -11.519559	 -0.153376
4.744183	  -0.344565	 -0.190926
-3.959715	  5.868514	 0.319916
5.653417	  6.138426	 0.172841
-1.164287	  2.202576	 -0.045836
-1.121061	  2.898732	 -0.258106
4.101260	  8.094950	 -0.090048
4.048132	  7.322784	 0.038486
-3.904533	  -1.960128	 -0.362717
6.066733	  -2.519332	 0.326278
0.330915	  -0.736580	 0.887174
-4.104963	  3.636159	 0.023646
-8.600991	  -3.917759	 -0.130026
10.206942	  -1.975281	 -0.213674
-5.497803	  4.752889	 0.358664
6.986643	  -6.286560	 -0.190163
-0.874338	  -7.756801	 0.102802
-2.438579	  -3.120854	 -0.287330
-1.399534	  -8.187295	 0.089670
5.654343	  -3.589306	 0.167887
-2.652018	  -0.651881	 -0.153943
1.089128	  1.042589	 0.461517
0.927543	  -5.436628	 -0.084032
4.610002	  -4.481802	 0.200889
4.404092	  0.709953	 -0.433630
3.806754	  3.260795	 -0.152267
-4.898382	  3.873251	 0.149044
7.219284	  -0.340524	 0.426200
8.717869	  -4.329829	 -0.231249
3.253317	  1.956366	 -0.504292
6.522691	  -1.885026	 0.299997
0.412081	  2.234115	 -0.050203
3.984172	  -0.781938	 -0.428709
4.198654	  1.324276	 -0.445493
1.266832	  -2.383860	 -0.107138
-5.450665	  9.017321	 -0.127204
0.055454	  -9.575969	 -0.164477
5.378751	  0.784833	 -0.005428
2.057851	  -1.593842	 -0.121904
5.506866	  3.457379	 0.282691
2.997982	  -6.073006	 0.168724
7.004102	  -6.207246	 -0.109285
5.832002	  5.156449	 0.119359
5.483499	  -0.516228	 0.050882
5.142774	  -2.055367	 0.020653
1.484390	  -1.547398	 0.206739
1.010167	  5.162522	 -0.198258
-2.471777	  5.613041	 0.326454
9.272955	  3.741171	 -0.193418
-0.623409	  -1.237236	 0.583903
4.329901	  -5.571061	 0.331516
-6.790422	  -3.592313	 0.199878
-3.328474	  4.244097	 -0.063446
6.881181	  -2.019095	 0.351840
3.554541	  -0.243000	 -0.292548
12.030343	  4.201689	 0.181052
6.079228	  0.897816	 0.108499
10.420891	  6.672888	 0.145823
6.443881	  0.413407	 0.171595
-5.945280	  4.985010	 0.197045
5.838938	  2.922971	 0.287250
-1.683846	  -2.918543	 -0.384872
-1.697119	  0.903144	 0.297383
2.283936	  -6.201344	 0.237596
1.709788	  0.726379	 0.357246
5.358245	  8.128535	 -0.160908
-5.941616	  -5.196703	 0.037359
2.592464	  2.716927	 -0.464259
5.471288	  -5.073780	 0.200833
4.201699	  -6.016158	 0.318215
4.605544	  4.700845	 0.313137
7.325019	  0.698026	 0.387677
-6.441170	  0.847224	 0.208942
2.285442	  -8.960470	 -0.188412
2.780909	  8.807936	 -0.080259
-4.423583	  -6.747233	 0.214006
-5.759834	  -5.722778	 0.183477
4.715263	  4.272278	 0.107650
-5.436226	  1.130352	 -0.014352
-4.843048	  1.078153	 -0.096741
1.424106	  4.798026	 -0.048458
-3.714427	  -3.785411	 -0.083682
-6.581975	  2.783831	 0.357890
3.096357	  -1.205106	 -0.333107
3.797994	  -0.149952	 -0.340835
1.262578	  -4.087417	 -0.430188
1.472686	  -9.146837	 -0.170060
-0.358181	  0.561235	 0.980196
7.640267	  -2.828928	 0.184720
-1.339013	  3.007573	 -0.207527
1.760809	  8.036167	 0.143051
1.555600	  0.788583	 0.362505
-1.719611	  7.955798	 0.168420
1.600996	  5.846626	 0.134595
-3.799197	  7.096534	 0.074473
8.280166	  7.093261	 -0.202083
-0.927899	  -4.692392	 -0.346854
5.230906	  -0.930053	 -0.025796
-2.625325	  -5.501335	 0.108506
8.416053	  -1.597640	 0.125466
-2.263468	  -4.926031	 -0.016189
3.656380	  -10.098407	 -0.227926
4.384870	  3.036094	 -0.102442
-10.170580	  -9.903124	 0.093486
-3.895812	  -2.890171	 -0.120192
5.343391	  -7.791599	 -0.168072
-7.373869	  0.679213	 0.363143
-6.117913	  1.275920	 0.170683
-3.321655	  -3.085025	 -0.333116
-4.273131	  -5.479289	 0.254597
9.635830	  -10.440518	 0.285427
1.438003	  6.086906	 0.179913
-7.349044	  2.516674	 0.100496
0.407085	  5.464542	 -0.070189
-3.695021	  0.354023	 -0.419196
-3.969714	  4.878596	 0.194426
1.229687	  2.053801	 0.052811
10.045572	  -0.181796	 -0.129877
-5.818875	  -4.029676	 0.290552
-0.883895	  1.130096	 0.555543
-5.326925	  -4.585655	 0.336732
8.127998	  -4.098381	 -0.080943
-3.600277	  0.879242	 -0.342911
-3.077178	  2.983694	 -0.490398
-1.063867	  -3.278612	 -0.271499
-2.632527	  1.522671	 -0.203506
-6.043172	  -13.627816	 0.130377
-3.804748	  8.611025	 -0.063150
2.635995	  -1.466765	 -0.251886
2.255598	  -7.584914	 0.174649
-0.201502	  -3.799464	 -0.447348
4.724303	  4.475852	 0.287062
-0.079179	  -0.530911	 1.000417
6.433238	  7.296170	 -0.183907
14.047236	  5.540303	 -0.141531
-1.649422	  2.068124	 -0.165800
1.596648	  9.322881	 -0.211613
1.504291	  -5.639016	 0.106903
-7.785106	  -2.540469	 0.165077
0.779914	  0.983901	 0.574199
-5.266587	  1.023883	 -0.079577
2.697212	  1.920911	 -0.365264
9.584135	  2.655231	 -0.214080
2.217386	  2.946589	 -0.563773
5.193634	  -5.378491	 0.286834
4.796062	  3.229815	 0.092168
-3.098822	  -4.304436	 0.092574
0.447102	  2.160494	 0.223985
-7.473062	  1.924033	 0.270839
1.806191	  7.165821	 0.301236
-7.779862	  -9.195281	 0.177211
-5.525220	  -4.331482	 0.507595
-5.918768	  -0.792651	 0.037908
-1.149335	  -0.329972	 0.727088
0.573824	  1.223302	 0.556920
5.401490	  -2.646741	 0.285239
-1.535900	  -6.503238	 0.344989
0.191062	  -0.508450	 0.962245
0.064823	  -5.119088	 -0.167222
